review,prediction
"check staff friendly could enough help asked change bedding allergic feather duvets etc made note last visit , could enough rectify told still feather !",1.0
room great - modern & clean . robes & slippers welcome touch ( superior room ) restaurant area refurbished attractive . breakfast fabulous . staff friendly although could staff duty saturday afternoon . large hen party group checking porter duty collect bags storage area took minutes .,1.0
great hotel . staff friendly professional willing help . rooms everything need business traveler . wifi quick problem streaming music videos .,1.0
price room stayed ( without breakfast ! ! ) n't think worth much previously stayed radisson hotels lot nicer cheaper ! also noise floor bad especially saturday night kept us throughout night !,1.0
parking facilities excellent find charges little steep 's gripe 's really nit picking something .,1.0
"come hotel regularly find `` superior '' bedrooms getting bit tired back hotel , decor bit shabby needs update , better rooms front view headrow square front . also n't like serving implements breakfast room , small thing annoying !",1.0
"rooms starting feel age little still extremely functional offer great standard accommodation . breakfast price slightly high side , price closer star hotel .",1.0
place well located happy proximity trinity mall major shopping complex . everything leeds seemed near . walk around mostly . neat tidy . rooms comfy . two double beds three us could comfortably sleep sheets changed daily basis . thanks .,1.0
stayed times little noisy main road side building said middle busy city . reception check in/out little slow busy times staffs fault ` also deal obviously slow complicated computer system .,1.0
lovely beds complimentary water room . great choice breakfast . ice bucket room ice machines different floors .,0.0
room small family . parking arrangement close parking garage still bit walk suitcases .,1.0
disappointed hot water room due maintenance work carried advised complained shower working . hot water checked,0.0
"great comfort , cleanliness loved swimming pool/ sauna breakfast , would highly recommend stay .",1.0
"beds comfy ! hotel staff really helpful . group staff reception went way put us rooms next , etc . breakfast amazing ! location perfect .",1.0
shower current standards . square front hotel drinkers gathering point . noisy .,0.0
one small gripe- asked extra milk room n't receive,1.0
"really comfy beds , great location shops . min walk train station . nice reception",1.0
"comfy beds , professional approach staff wonderful breakfast-especially porridge",1.0
"parking situation pretty nasty . park one city center parking lots get ticket validated . n't know drive hotel 's courtyard first drop baggage ( since arrived early checkin ) , ended schlepping baggage offsite parking .",1.0
swimming pool great decently sized . elevator broke walk outside get access . staff actually pretty friendly easy work . n't bother expensive on-site breakfast location great exploring leeds .,1.0
wi-fi rooms unless sign marriott membership ! ! ! goodness sake -expected marriott chain .,1.0
best hotel breakfast years . sensational hash browns !,1.0
like hotel location 's easy find far road hard pull luggage hotel . many restaurands shop surrounding around hotel .,1.0
disappointed breakfast . expected breakfast would done order type hotel instead buffet style . selection & ingredients good quality everything tepid pet hate mine .,1.0
really nice hotel good location spa lovely staff friendly,1.0
wifi would n't work kept saying needed go speak reception . would think wifi would easy access especially somewhere city centre,1.0
"noisy open window ( airconditioner outlets roof opposite ) , heavy smell pledge cleaning stuff reception area , fitness room , acoustics breakfast area",0.0
bacon breakfast decidedly odd . little smoked salmon go scrambled egg would nice . showers bath bit .,1.0
"carol , lady cleared table breakfast extremely helpful going way find information leeds . star .",1.0
restaurant leaves lot desired yorkshire pudding appalling main good desert cooked,1.0
"excellent menue food well presented delicious , breakfast everything could wish staff friendly helpful.bed comfortable room service excellent check",1.0
"breakfast adequate . hot food long , chef personal preferences .",1.0
"great breakfast range , friendly staff brilliantly located . reduced overnight night nco car park",1.0
"staff check . waiting check queue storing luggage . would breakfast , expensive !",1.0
stayed room check early evening n't notice following morning air conditioning n't work meaning slept covers unpleasant temperature also major queuing lifts reception check working,1.0
"great location great food bar , minutes away many cities facilities",1.0
hotel bathroom small dated . shower bath could powerful . bathrobes .,1.0
bed lovely comfy bathroom fab including toilettries,1.0
"disappointing expected pay wifi hotel room .we also surprised queen deluxe double room one pack biscuits share two breakfast tea bags.other similar hotels b & b much generous .free water however , appreciated .",1.0
checking busy time one person reception queues formed took extra person show help checking busy time one person reception queues formed took extra person show help,1.0
bed comfortable rooms clean tidy spa centre well equipped . pleasant stay .,1.0
room way stuffy hot . air con n't cool enough windows n't open wide enough . left window shut enable a/c still hot .,1.0
"great beds , excellent breakfast . good city centre location although prone street noise .",1.0
front front hotel noisy sunday mornining . one lift order stairs,1.0
"unfortunately , lift gym service meant needed take street entrance gym , raining outside n't particularly nice . gym smaller expected",1.0
